ElectionName,DemCandidate,RepCandidate,Estimate,Chance,Flip,DemIncumbent,RepIncumbent,DemParty,RepParty,DemConfirmed,RepConfirmed
CA-26,TBD,TBD,0.616,1,0,0,0,D,R,1,1
CA-27,Whitesides,TBD,0.587,0.9988,0,1,0,D,R,0,1
CA-28,Chu,Verlato,0.67,1,0,1,0,D,R,0,0
CA-29,Rivas,Melendez,0.7245,1,0,1,0,D,R,1,1
CA-30,Friedman,Meyers,0.7217,1,0,1,0,D,R,0,0
CA-31,Cisneros,TBD,0.6073,0.9999,0,1,0,D,R,0,1
CA-32,Sherman,Thompson,0.6618,1,0,1,0,D,R,0,0
CA-33,Aguilar,N/A,1,1,0,1,0,D,,1,1
CA-34,Gomez,Lee,0.8108,1,0,1,0,D,R,0,0
CA-35,Torres,Cargile,0.5977,0.9997,0,1,0,D,R,1,1
CA-36,Lieu,TBD,0.724,1,0,1,0,D,R,0,1
CA-37,Kamlager-Dove,Fedalizo,0.8576,1,0,1,0,D,R,0,0
CA-38,TBD,Casas,0.5992,0.9997,0,0,0,D,R,1,0
CA-39,Takano,N/A,1,1,0,1,0,D,,1,1
CA-40,TBD,TBD,0.4349,0.012,0,0,1,D,R,1,1
CA-41,S&#225;nchez,TBD,0.702,1,1,1,0,D,R,0,1
CA-42,Garcia,TBD,0.6093,0.9999,0,1,0,D,R,0,1
CA-43,Waters,Morales,0.7847,1,0,1,0,D,R,0,0
CA-44,Barrag&#225;n,Genevieve,0.7441,1,0,1,0,D,R,1,1
CA-45,Tran,TBD,0.5543,0.9709,0,1,0,D,R,0,1
CA-46,Correa,Pan,0.649,1,0,1,0,D,R,0,0
CA-47,Min,TBD,0.5838,0.9983,0,1,0,D,R,0,1
CA-48,TBD,TBD,0.5539,0.97,1,0,0,D,R,1,1
CA-49,Levin,TBD,0.5837,0.9983,0,1,0,D,R,0,1
CA-50,Peters,TBD,0.6199,1,0,1,0,D,R,0,1
CA-51,Jacobs,N/A,1,1,0,1,0,D,,1,1
CA-52,Vargas,N/A,1,1,0,1,0,D,,0,1
CO-01,DeGette,TBD,0.8188,1,0,1,0,D,R,0,1
CO-02,Neguse,TBD,0.7414,1,0,1,0,D,R,0,1
CO-03,TBD,Hurd,0.4954,0.435,0,0,1,D,R,1,0
CO-04,TBD,Boebert,0.4594,0.0739,0,0,1,D,R,1,0
CO-05,TBD,Crank,0.4609,0.0782,0,0,1,D,R,1,0
CO-06,Crow,TBD,0.6396,1,0,1,0,D,R,0,1
CO-07,Pettersen,TBD,0.6116,0.9999,0,1,0,D,R,0,1
CO-08,TBD,Evans,0.5175,0.7341,1,0,1,D,R,1,0
CT-01,Larson,TBD,0.6709,1,0,1,0,D,R,0,1
CT-02,Courtney,TBD,0.6065,0.9999,0,1,0,D,R,0,1
CT-03,DeLauro,TBD,0.6184,1,0,1,0,D,R,0,1
CT-04,Himes,TBD,0.6544,1,0,1,0,D,R,0,1
CT-05,Hayes,TBD,0.5681,0.9922,0,1,0,D,R,0,1
DE-AL,McBride,TBD,0.6154,1,0,1,0,D,R,0,1
FL-01,TBD,Patronis,0.4001,0.0003,0,0,1,D,R,1,0
FL-02,TBD,TBD,0.4475,0.0299,0,0,0,D,R,1,1
FL-03,TBD,Cammack,0.4143,0.0015,0,0,1,D,R,1,0
FL-04,TBD,Bean,0.4582,0.075,0,0,1,D,R,1,0
FL-05,TBD,Rutherford,0.4025,0.0004,0,0,1,D,R,1,0
FL-06,TBD,Fine,0.4105,0.0011,0,0,1,D,R,1,0
FL-07,TBD,Mills,0.4616,0.0943,0,0,1,D,R,1,0
FL-08,TBD,Haridopolos,0.4025,0.0005,0,0,1,D,R,1,0
FL-09,Soto,TBD,0.5885,0.9993,0,1,0,D,R,0,1
FL-10,Frost,TBD,0.6565,1,0,1,0,D,R,0,1
FL-11,TBD,Webster,0.4283,0.0071,0,0,1,D,R,1,0
FL-12,TBD,Bilirakis,0.325,0,0,0,1,D,R,1,0
FL-13,TBD,Luna,0.4739,0.1873,0,0,1,D,R,1,0
FL-14,Castor,TBD,0.6019,0.9998,0,1,0,D,R,0,1
FL-15,TBD,Lee,0.4657,0.1187,0,0,1,D,R,1,0
FL-16,TBD,TBD,0.4576,0.0686,0,0,0,D,R,1,1
FL-17,TBD,Steube,0.3919,0.0001,0,0,1,D,R,1,0
FL-18,TBD,Franklin,0.3755,0,0,0,1,D,R,1,0
FL-19,TBD,TBD,0.3887,0,0,0,0,D,R,1,1
FL-20,Cherfils-McCormick,TBD,0.7465,1,0,1,0,D,R,0,1
FL-21,TBD,Mast,0.4172,0.0024,0,0,1,D,R,1,0
FL-22,Frankel,TBD,0.5769,0.9973,0,1,0,D,R,0,1
FL-23,Moskowitz,TBD,0.5532,0.9704,0,1,0,D,R,0,1
FL-24,Wilson,TBD,0.7079,1,0,1,0,D,R,0,1
FL-25,Wasserman Shultz,TBD,0.5747,0.9964,0,1,0,D,R,0,1
FL-26,TBD,D&#237;az-Balart,0.3273,0,0,0,1,D,R,1,0
FL-27,TBD,Salazar,0.4318,0.0088,0,0,1,D,R,1,0
FL-28,TBD,Gim&#233;nez,0.3874,0,0,0,1,D,R,1,0
GA-01,TBD,TBD,0.46,0.0728,0,0,0,D,R,1,1
GA-02,Bishop,Day,0.5924,0.9998,0,1,0,D,R,1,1
GA-03,TBD,Jack,0.3674,0,0,0,1,D,R,1,1
GA-04,Johnson,Duffie,0.7934,1,0,1,0,D,R,0,1
GA-05,Williams,Salvensen,0.8933,1,0,1,0,D,R,0,1
GA-06,McBath,TBD,0.7549,1,0,1,0,D,R,1,1
GA-07,TBD,McCormick,0.3835,0,0,0,1,D,R,1,1
GA-08,TBD,Scott,0.3505,0,0,0,1,D,R,1,1
GA-09,TBD,Clyde,0.3454,0,0,0,1,D,R,1,0
GA-10,TBD,TBD,0.4357,0.0096,0,0,0,D,R,1,1
GA-11,TBD,TBD,0.4219,0.003,0,0,0,D,R,1,1
GA-12,TBD,Allen,0.4348,0.0106,0,0,1,D,R,1,0
GA-13,Scott,TBD,0.7524,1,0,1,0,D,R,0,1
GA-14,TBD,TBD,0.3792,0,0,0,0,D,R,1,1
HI-01,Case,TBD,0.7264,1,0,1,0,D,R,0,1
HI-02,Tokuda,TBD,0.7008,1,0,1,0,D,R,0,1
ID-01,TBD,Fulcher,0.3037,0,0,0,1,D,R,1,0
ID-02,TBD,Simpson,0.3727,0,0,0,1,D,R,1,0
IL-01,Jackson,TBD,0.6938,1,0,1,0,D,R,1,1
IL-02,TBD,TBD,0.7053,1,0,0,0,D,R,1,1
IL-03,Ramirez,TBD,0.7043,1,0,1,0,D,R,0,1
IL-04,Garcia,Castillo,0.6811,1,0,0,0,D,R,1,1
IL-05,Mike Quigley,TBD,0.7241,1,0,1,0,D,R,0,1
IL-06,Casten,TBD,0.5724,0.994,0,1,0,D,R,0,1
IL-07,TBD,TBD,0.8669,1,0,0,0,D,R,1,1
IL-08,TBD,TBD,0.5716,0.9935,0,0,0,D,R,1,1
IL-09,TBD,TBD,0.7199,1,0,0,0,D,R,1,1
IL-10,Shneider,Lambrecht,0.6391,1,0,1,0,D,R,0,1
IL-11,Foster,TBD,0.5936,0.9995,0,1,0,D,R,1,1
IL-12,Fortier,Bost,0.2951,0,0,0,1,D,R,1,1
IL-13,Budzinski,TBD,0.6088,0.9999,0,1,0,D,R,0,1
IL-14,Underwood,TBD,0.582,0.9979,0,1,0,D,R,1,1
IL-15,TBD,Miller,0.3279,0,0,0,1,D,R,1,0
IL-16,Nolley,LaHood,0.4146,0.0038,0,0,1,D,R,1,0
IL-17,Sorensen,TBD,0.5735,0.9949,0,1,0,D,R,0,1
IN-01,Mrvan,TBD,0.5672,0.9912,0,1,0,D,R,0,1
IN-02,TBD,Yakym,0.3875,0,0,0,1,D,R,1,1
IN-03,Thompson,Stutzman,0.3554,0,0,0,1,D,R,1,0
IN-04,TBD,Baird,0.3603,0,0,0,1,D,R,1,0
IN-05,TBD,Spartz,0.4345,0.0102,0,0,1,D,R,1,0
IN-06,TBD,Shreve,0.3573,0,0,0,1,D,R,1,0
IN-07,Carson,TBD,0.7396,1,0,1,0,D,R,0,1
IN-08,TBD,Messmer,0.3323,0,0,0,1,D,R,1,1
IN-09,TBD,Houchin,0.37,0,0,0,1,D,R,1,1
IA-01,TBD,Miller-Meeks,0.5199,0.7597,1,0,1,D,R,1,0
IA-02,TBD,Mitchell,0.4901,0.3629,0,0,0,D,R,1,1
IA-03,Garriott,Nunn,0.5117,0.6627,1,0,1,D,R,1,1
IA-04,TBD,McGowan,0.3822,0,0,0,0,D,R,1,1
KS-01,TBD,Mann,0.35,0,0,0,1,D,R,1,0
KS-02,TBD,Schmidt,0.4291,0.0058,0,0,1,D,R,1,0
KS-03,Davids,TBD,0.5845,0.9984,0,1,0,D,R,0,1
KS-04,TBD,Estes,0.389,0,0,0,1,D,R,1,0
KY-01,Williams,Comer,0.2847,0,0,0,1,D,R,1,0
KY-02,TBD,Guthrie,0.3046,0,0,0,1,D,R,1,0
KY-03,McGarvey,TBD,0.6466,1,0,1,0,D,R,1,1
KY-04,TBD,Massie,0.3477,0,0,0,1,D,R,1,0
KY-05,Pillersdorf,Rogers,0.2045,0,0,0,1,D,R,1,0
KY-06,TBD,TBD,0.462,0.0908,0,0,0,D,R,1,1
LA-01,TBD,Scalise,0.2895,0,0,0,1,D,R,1,0
LA-02,Carter,N/A,1,1,0,1,0,D,,0,1
LA-03,TBD,Higgins,0.2878,0,0,0,1,D,R,1,1
LA-04,TBD,Johnson,0.2657,0,0,0,1,D,R,1,0
LA-05,TBD,TBD,0.3551,0,0,0,0,D,R,1,1
LA-06,Fields,TBD,0.6492,1,0,1,0,D,R,1,1
ME-01,Pingree,TBD,0.652,1,0,1,0,D,R,0,1
ME-02,TBD,TBD,0.493,0.4015,1,0,0,D,R,1,1
MD-01,TBD,Harris,0.4226,0.0039,0,0,1,D,R,1,0
MD-02,Olszewsk,TBD,0.6333,1,0,1,0,D,R,0,1
MD-03,Elfreth,TBD,0.6523,1,0,1,0,D,R,0,1
MD-04,Ivey,McDermott,0.9197,1,0,1,0,D,R,0,1
MD-05,TBD,TBD,0.7085,1,0,0,0,D,R,1,1
MD-06,McClain,TBD,0.571,0.9944,0,1,0,D,R,0,1
MD-07,Mfume,Collier,0.8513,1,0,1,0,D,R,0,1
MD-08,Raskin,TBD,0.8236,1,0,1,0,D,R,0,1
MA-01,Neal,TBD,0.6173,0.9999,0,1,0,D,R,0,1
MA-02,McGovern,TBD,0.6693,1,0,1,0,D,R,0,1
MA-03,Trahan,TBD,0.6447,1,0,1,0,D,R,0,1
MA-04,Auchincloss,TBD,0.6484,1,0,1,0,D,R,0,1
MA-05,Clark,TBD,0.7782,1,0,1,0,D,R,0,1
MA-06,TBD,TBD,0.6423,1,0,0,0,D,R,1,1
MA-07,Pressley,TBD,0.8714,1,0,1,0,D,R,0,1
MA-08,Lynch,TBD,0.7202,1,0,1,0,D,R,0,1
MA-09,Keating,TBD,0.5965,0.9997,0,1,0,D,R,0,1
MI-01,TBD,Bergman,0.4371,0.0149,0,0,1,D,R,1,0
MI-02,TBD,Moolenaar,0.3624,0,0,0,1,D,R,1,0
MI-03,Scholten,TBD,0.5829,0.9978,0,1,0,D,R,0,1
MI-04,TBD,Huizenga,0.4781,0.2197,0,0,1,D,R,1,0
MI-05,TBD,Walberg,0.3697,0,0,0,1,D,R,1,0
MI-06,Dingell,TBD,0.6688,1,0,1,0,D,R,0,1
MI-07,TBD,Barrett,0.5092,0.6271,1,0,1,D,R,1,0
MI-08,McDonald Rivet,TBD,0.5605,0.9842,0,1,0,D,R,0,1
MI-09,TBD,McClain,0.3435,0,0,0,1,D,R,1,0
MI-10,TBD,TBD,0.5013,0.5174,1,0,0,D,R,1,1
MI-11,TBD,TBD,0.6182,1,0,0,0,D,R,1,1
MI-12,Tlaib,TBD,0.7568,1,0,1,0,D,R,0,1
MI-13,Thanedar,TBD,0.7626,1,0,1,0,D,R,0,1
MN-01,TBD,Finstad,0.4534,0.0505,0,0,1,D,R,1,0
MN-02,TBD,TBD,0.5696,0.9926,0,0,0,D,R,1,1
MN-03,Morrison,TBD,0.6308,1,0,1,0,D,R,0,1
MN-04,McCollum,TBD,0.7096,1,0,1,0,D,R,0,1
MN-05,Omar,TBD,0.8043,1,0,1,0,D,R,0,1
MN-06,TBD,Emmer,0.4125,0.001,0,0,1,D,R,1,0
MN-07,TBD,Fischbach,0.332,0,0,0,1,D,R,1,0
MN-08,TBD,Stauber,0.4528,0.0499,0,0,1,D,R,1,0
MS-01,Johnson,Kelly,0.3356,0,0,0,1,D,R,1,1
MS-02,Thompson,Eller,0.6519,1,0,1,0,D,R,1,1
MS-03,Chiaradio,Guest,0.3818,0.0001,0,0,1,D,R,1,1
MS-04,Hulum,Ezell,0.2966,0,0,0,1,D,R,1,1
MO-01,Bell,TBD,0.8418,1,0,1,0,D,R,0,1
MO-02,TBD,Wagner,0.4549,0.0598,0,0,1,D,R,1,0
MO-03,TBD,Odner,0.4266,0.0043,0,0,1,D,R,1,0
MO-04,TBD,Alford,0.4144,0.0011,0,0,1,D,R,1,0
MO-05,Cleaver,TBD,0.4484,0.0326,1,1,0,D,R,0,1
MO-06,TBD,Graves,0.3767,0,0,0,1,D,R,1,0
MO-07,TBD,Burlison,0.3019,0,0,0,1,D,R,1,0
MO-08,TBD,Smith,0.2549,0,0,0,1,D,R,1,0
MT-01,TBD,TBD,0.48,0.2392,0,0,0,D,R,1,1
MT-02,TBD,Downing,0.3689,0,0,0,1,D,R,1,1
NE-01,TBD,Flood,0.4396,0.0141,0,0,1,D,R,1,1
NE-02,TBD,Harding,0.5632,0.9872,1,0,0,D,R,1,1
NE-03,Stille,Smith,0.2375,0,0,0,1,D,R,1,0
NV-01,Titus,TBD,0.5637,0.986,0,1,0,D,R,0,1
NV-02,TBD,TBD,0.4658,0.1169,0,0,0,D,R,1,1
NV-03,Lee,TBD,0.5408,0.9202,0,1,0,D,R,0,1
NV-04,Horsford,TBD,0.5669,0.9901,0,1,0,D,R,1,1
NH-01,TBD,TBD,0.549,0.9561,0,0,0,D,R,1,1
NH-02,Goodlander,TBD,0.5679,0.9923,0,1,0,D,R,0,1
NJ-01,Norcross,TBD,0.6258,1,0,1,0,D,R,0,1
NJ-02,TBD,Van Drew,0.4475,0.0367,0,0,1,D,R,1,0
NJ-03,Conaway,TBD,0.5823,0.9985,0,1,0,D,R,0,1
NJ-04,TBD,Smith,0.3534,0,0,0,1,D,R,1,0
NJ-05,Gottheimer,TBD,0.5781,0.9973,0,1,0,D,R,0,1
NJ-06,Palone,TBD,0.6009,0.9998,0,1,0,D,R,0,1
NJ-07,TBD,Kean,0.5072,0.5987,1,0,1,D,R,1,0
NJ-08,Menendez,TBD,0.6619,1,0,1,0,D,R,0,1
NJ-09,Pou,TBD,0.5535,0.9682,0,1,0,D,R,0,1
NJ-10,McIver,TBD,0.7995,1,0,1,0,D,R,0,1
NJ-11,TBD,TBD,0.5982,1,0,0,0,D,R,1,1
NJ-12,TBD,TBD,0.6588,1,0,0,0,D,R,1,1
NM-01,Stansbury,TBD,0.5996,0.9998,0,1,0,D,R,1,1
NM-02,Vasquez,TBD,0.55,0.9661,0,1,0,D,R,0,1
NM-03,Leger Fern&#225;ndez,TBD,0.5897,0.9995,0,1,0,D,R,1,1
NY-01,TBD,LaLota,0.4759,0.2045,0,0,1,D,R,1,0
NY-02,TBD,Garbarino,0.4372,0.0157,0,0,1,D,R,1,0
NY-03,Suozzi,TBD,0.5388,0.9152,0,1,0,D,R,0,1
NY-04,Gillen,TBD,0.551,0.9653,0,1,0,D,R,0,1
NY-05,Meeks,TBD,0.7567,1,0,1,0,D,R,0,1
NY-06,Meng,TBD,0.6258,1,0,1,0,D,R,0,1
NY-07,TBD,TBD,0.7707,1,0,0,0,R,R,1,1
NY-08,Jeffries,TBD,0.7771,1,0,1,0,D,R,0,1
NY-09,Clarke,TBD,0.7644,1,0,1,0,D,R,0,1
NY-10,Goldman,TBD,0.8682,1,0,1,0,D,R,0,1
NY-11,TBD,Malliotakis,0.3873,0.0001,0,0,1,D,R,1,0
NY-12,TBD,TBD,0.8593,1,0,0,0,D,R,1,1
NY-13,Espaillat,TBD,0.8585,1,0,1,0,D,R,0,1
NY-14,Ocasio-Cortez,TBD,0.7159,1,0,1,0,D,R,0,1
NY-15,Torres,TBD,0.8054,1,0,1,0,D,R,0,1
NY-16,Latimer,TBD,0.7393,1,0,1,0,D,R,0,1
NY-17,TBD,Lawler,0.5054,0.5733,1,0,1,D,R,1,0
NY-18,Ryan,TBD,0.5943,0.9996,0,1,0,D,R,0,1
NY-19,Riley,TBD,0.5535,0.9721,0,1,0,D,R,0,1
NY-20,Tonko,TBD,0.6341,1,0,1,0,D,R,0,1
NY-21,TBD,TBD,0.4351,0.011,0,0,0,D,R,1,1
NY-22,Mannion,TBD,0.5842,0.9983,0,1,0,D,R,0,1
NY-23,TBD,Langworthy,0.3841,0,0,0,1,D,R,1,0
NY-24,TBD,Tenney,0.3832,0,0,0,1,D,R,1,0
NY-25,Morrelle,TBD,0.6371,1,0,1,0,D,R,0,1
NY-26,Kennedy,TBD,0.6697,1,0,1,0,D,R,0,1
NC-01,Davis,Buckhout,0.4964,0.4387,1,1,0,D,R,1,1
NC-02,Ross,Douglass,0.7122,1,0,1,0,D,R,1,1
NC-03,Smith,Murphy,0.4588,0.0971,0,0,1,D,R,1,1
NC-04,Foushee,Ganorkar,0.7683,1,0,1,0,D,R,1,1
NC-05,Hubbard,Foxx,0.4356,0.012,0,0,1,D,R,1,1
NC-06,Jefferson,McDowell,0.4408,0.0319,0,0,1,D,R,1,1
NC-07,Hardy,Rouzer,0.4462,0.0299,0,0,1,D,R,1,1
NC-08,Watson,Harris,0.4297,0.0068,0,0,1,D,R,1,1
NC-09,Ojeda,Hudson,0.4356,0.0115,0,0,1,D,R,1,1
NC-10,Bell,Harrigan,0.4283,0.0061,0,0,1,D,R,1,1
NC-11,Ager,Edwards,0.4658,0.1185,0,0,1,D,R,1,1
NC-12,Adams,Codiga,0.7748,1,0,1,0,D,R,1,1
NC-13,Barringer,Knott,0.4421,0.0207,0,0,1,D,R,1,1
NC-14,Womack,Moore,0.4478,0.034,0,0,1,D,R,1,1
ND-AL,TBD,Fedorchak,0.3355,0,0,0,1,D,R,1,0
OH-01,Landsman,TBD,0.532,0.8671,0,1,0,D,R,0,1
OH-02,TBD,Taylor,0.3162,0,0,0,1,D,R,1,0
OH-03,Beatty,Dulaney,0.7406,1,0,1,0,D,R,0,1
OH-04,Kolasinski,Jordan,0.314,0,0,0,1,D,R,1,1
OH-05,TBD,Latta,0.3876,0,0,0,1,D,R,1,0
OH-06,TBD,Rulli,0.3541,0,0,0,1,D,R,1,0
OH-07,TBD,Miller,0.4473,0.0355,0,0,1,D,R,1,1
OH-08,TBD,Davidson,0.4415,0.0215,0,0,1,D,R,1,1
OH-09,Kaptur,TBD,0.5082,0.6139,0,1,0,D,R,1,1
OH-10,TBD,Turner,0.438,0.0165,0,0,1,D,R,1,1
OH-11,Brown,TBD,0.8262,1,0,1,0,D,R,0,1
OH-12,TBD,Balderson,0.3634,0,0,0,1,D,R,1,1
OH-13,Sykes,TBD,0.5572,0.9775,0,1,0,D,R,1,1
OH-14,TBD,Joyce,0.392,0.0001,0,0,1,D,R,1,0
OH-15,TBD,Carey,0.4643,0.1049,0,0,1,D,R,1,0
OK-01,TBD,TBD,0.4266,0.0052,0,0,0,D,R,1,1
OK-02,TBD,Brecheen,0.2512,0,0,0,1,D,R,1,0
OK-03,TBD,Lucas,0.2975,0,0,0,1,D,R,1,0
OK-04,TBD,Cole,0.3388,0,0,0,1,D,R,1,0
OK-05,TBD,Bice,0.4261,0.0047,0,0,1,D,R,1,0
OR-01,Bonamici,TBD,0.7406,1,0,1,0,D,R,0,1
OR-02,TBD,Bentz,0.3732,0,0,0,1,D,R,1,0
OR-03,Dexter,Ayles,0.768,1,0,1,0,D,R,0,1
OR-04,Hoyle,TBD,0.58,0.9976,0,1,0,D,R,0,1
OR-05,Bynum,TBD,0.5639,0.9868,0,1,0,D,R,0,1
OR-06,Salinas,Russ,0.5744,0.9946,0,1,0,D,R,1,1
PA-01,TBD,Fitzpatrick,0.4806,0.2537,0,0,1,D,R,1,1
PA-02,Boyle,Arriaga,0.7376,1,0,1,0,D,R,1,1
PA-03,TBD,N/A,1,1,0,0,0,D,,1,1
PA-04,Dean,Stuski,0.6219,1,0,1,0,D,R,1,1
PA-05,Scanlon,Manganaro,0.6827,1,0,1,0,D,R,1,1
PA-06,Houlahan,Young,0.5969,0.9997,0,1,0,D,R,1,1
PA-07,TBD,Mackenzie,0.5116,0.6545,1,0,1,D,R,1,1
PA-08,Cognetti,Bresnahan,0.5028,0.5377,1,0,1,D,R,1,1
PA-09,Wallace,Meuser,0.3264,0,0,0,1,D,R,1,1
PA-10,TBD,Perry,0.5146,0.6922,1,0,1,D,R,1,1
PA-11,Mannion,Lloyd Smucker,0.404,0.0005,0,0,1,D,R,1,1
PA-12,Lee,Hayes,0.6053,0.9999,0,1,0,D,R,0,1
PA-13,Farnham,Joyce,0.2894,0,0,0,1,D,R,1,1
PA-14,Bradstock,Reschenthaler,0.3613,0,0,0,1,D,R,1,1
PA-15,Bilger,Thompson,0.3198,0,0,0,1,D,R,1,1
PA-16,Wagner,Kelly,0.3964,0.0002,0,0,1,D,R,1,1
PA-17,Deluzio,TBD,0.5697,0.9931,0,1,0,D,R,1,1
RI-01,Gabe Amo,TBD,0.6823,1,0,1,0,D,R,0,1
RI-02,Magaziner,TBD,0.6053,0.9999,0,1,0,D,R,0,1
SC-01,Deford,TBD,0.4723,0.159,0,0,0,D,R,0,1
SC-02,TBD,Wilson,0.4393,0.0166,0,0,1,D,R,1,0
SC-03,TBD,Biggs,0.2924,0,0,0,1,D,R,1,0
SC-04,TBD,Timmons,0.4121,0.0012,0,0,1,D,R,1,0
SC-05,TBD,TBD,0.4234,0.0023,0,0,0,D,R,1,1
SC-06,Clyburn,TBD,0.653,1,0,1,0,D,R,0,1
SC-07,TBD,Fry,0.3821,0,0,0,1,D,R,1,0
SD-AL,TBD,TBD,0.3918,0.0001,0,0,0,D,R,1,1
TN-01,TBD,Harshbarger,0.229,0,0,0,1,D,R,1,0
TN-02,Barnett,Burchett,0.3409,0,0,0,1,D,R,1,1
TN-03,Golladay,Fleischmann,0.3358,0,0,0,1,D,R,1,1
TN-04,TBD,DesJarlais,0.3081,0,0,0,1,D,R,1,0
TN-05,TBD,Ogles,0.4407,0.0181,0,0,1,D,R,1,0
TN-06,TBD,TBD,0.3614,0,0,0,0,D,R,1,1
TN-07,Sales,Van Epps,0.4442,0.0235,0,0,1,D,R,1,1
TN-08,TBD,Kostoff,0.3003,0,0,0,1,D,R,1,1
TN-09,Cohen,TBD,0.7667,1,0,1,0,D,R,0,1
TX-01,TBD,Moran,0.2804,0,0,0,1,D,R,1,1
TX-02,Finnie,Toth,0.4241,0.0033,0,0,0,D,R,1,1
TX-03,Hunt,Keith Self,0.395,0.0001,0,0,1,D,R,1,1
TX-04,Pearce,Fallon,0.3904,0,0,0,1,D,R,1,1
TX-05,TBD,Gooden,0.4188,0.0018,0,0,1,D,R,1,1
TX-06,Minton,Ellzey,0.4052,0.0003,0,0,1,D,R,1,1
TX-07,Fletcher,TBD,0.659,1,0,1,0,D,R,1,1
TX-08,Jones,Steinmann,0.3993,0.0001,0,0,0,D,R,1,1
TX-09,Gutierrez,TBD,0.4384,0.0143,1,0,0,D,R,1,1
TX-10,Rourk,Gober,0.4259,0.0037,0,0,0,D,R,1,1
TX-11,Reynolds,Pfluger,0.3565,0,0,0,1,D,R,1,1
TX-12,Rodriguez Prilliman,Goldman,0.3909,0,0,0,1,D,R,1,1
TX-13,Nair,Jackson,0.2976,0,0,0,1,D,R,1,1
TX-14,TBD,Weber,0.3953,0.0001,0,0,1,D,R,1,1
TX-15,Pulido,De La Cruz,0.4539,0.0484,0,0,1,D,R,1,1
TX-16,Escobar,TBD,0.6302,1,0,1,0,D,R,0,1
TX-17,TBD,Sessions,0.4106,0.0005,0,0,1,D,R,1,1
TX-18,TBD,Whitfield,0.8268,1,0,1,0,D,R,0,1
TX-19,Rable,TBD,0.2797,0,0,0,0,D,R,1,1
